Date,Open,High,Low,Close,Volume,ticker
2023-04-24,118.57506356301991,120.10554735493149,118.23495445196413,120.06775665283203,3790900,NKE
2023-04-25,119.53868851877611,119.76542549940598,117.19572290064403,117.77201843261719,4383300,NKE
2023-04-26,117.3468729880935,118.07433127830178,116.47770859652883,116.997314453125,4003200,NKE
2023-04-27,117.56418767712911,119.04743852214786,116.33601506575634,118.75456237792969,4252100,NKE
2023-04-28,118.23494992027669,120.04886030449134,118.05544589414407,119.71820068359375,4421400,NKE
2023-05-01,119.90715225900009,121.56989991382802,119.85046980944715,120.85189819335938,4112600,NKE
2023-05-02,120.12444041339691,120.5306814312259,118.25384039441157,120.22836303710938,3831600,NKE
2023-05-03,118.55615871197317,121.28648094211877,116.8367214950759,119.73709106445312,4560100,NKE
2023-05-04,118.03654694522228,118.27273340399992,116.03368317996595,116.83671569824219,6177100,NKE
2023-05-05,118.97185413058983,120.01107320221583,118.30108539155997,119.59538269042969,4887800,NKE
2023-05-08,120.22836994647587,120.63461098765099,119.0190963005144,119.8693618774414,3892600,NKE
2023-05-09,118.34831870020766,118.71677624169328,117.30909962561985,118.18771362304688,4082100,NKE
2023-05-10,119.31194664651434,119.47255170088262,115.41959139811676,116.68555450439453,5052600,NKE
2023-05-11,116.6288837540004,117.01623305030631,115.16453186738326,115.46685028076172,5923100,NKE
2023-05-12,114.3047868882429,114.50318263186793,112.45308607323788,113.56788635253906,6574200,NKE
2023-05-15,113.19944334591408,113.36004840469764,111.48945572604993,113.20889282226562,5518200,NKE
2023-05-16,111.0076440007239,111.32885414913336,109.70389724472902,110.04400634765625,8306400,NKE
2023-05-17,109.949519404515,110.65807879186251,108.88195918906673,110.51637268066406,7765400,NKE
2023-05-18,110.94151213492674,112.56647624803945,110.39355777904655,112.30194854736328,5970500,NKE
2023-05-19,108.23008336861218,109.10869730634842,106.85075527854521,108.41903686523438,11674300,NKE
2023-05-22,106.61457183756158,106.61457183756158,103.94093924919605,104.09210205078125,12710300,NKE
2023-05-23,103.70474365370454,104.92346660486587,102.21205076249221,102.76944732666016,11790400,NKE
2023-05-24,102.97731021326443,103.07178336822243,101.2767645926618,102.3065414428711,8503200,NKE
2023-05-25,102.36322227636484,102.94896736038984,101.48460825424712,101.54129791259766,6729800,NKE
2023-05-26,101.08781865104841,102.45769742252953,101.08781865104841,101.56964111328125,7911200,NKE
2023-05-30,102.41045766605312,102.86393166460552,100.39814427297924,100.63433074951172,9335200,NKE
2023-05-31,99.85963775832782,100.30366948018651,99.03771344648135,99.44395446777344,21465200,NKE
2023-06-01,98.42362771323052,98.82041925958703,97.21435411985497,97.90401458740234,12025200,NKE
2023-06-02,102.0177094156583,102.7665163086717,100.59592582345788,102.1598892211914,11838200,NKE
