Date,Open,High,Low,Close,Volume,ticker
2023-04-24,368.6018917682801,371.0484501439826,367.0985985425641,368.1892395019531,1886300,MA
2023-04-25,366.98072522578065,368.04186111741154,361.8911469960017,362.09747314453125,2245000,MA
2023-04-26,363.18810352777876,365.72305751862166,359.7000492950067,360.3583679199219,2594200,MA
2023-04-27,360.1815225267095,368.4349288596876,354.69893173371474,367.1477966308594,3859900,MA
2023-04-28,366.0276978195328,375.2636201257153,365.02551213865104,373.39678955078125,3107300,MA
2023-05-01,373.8487142508639,375.78433001562775,372.3454208893403,373.2297058105469,1745100,MA
2023-05-02,371.1761721683908,372.22750296317577,364.4654001494856,369.466552734375,2478700,MA
2023-05-03,370.095417406381,372.9251231881649,367.7962346072623,368.3562927246094,1970900,MA
2023-05-04,367.9633346044934,370.2723228079394,365.6445413345904,369.5550537109375,2814900,MA
2023-05-05,373.9273458963496,378.42739106609207,371.6379981034844,377.9459533691406,2683100,MA
2023-05-08,377.3073096694562,380.6970736770426,377.07147835808087,378.7811279296875,1719600,MA
2023-05-09,377.1796378120367,379.42967579935976,376.0202411140818,376.25604248046875,2036400,MA
2023-05-10,379.2527709602792,380.00935027142344,371.05834415915143,375.8630065917969,1940800,MA
2023-05-11,375.5387545275693,378.9874992627455,372.64026292791533,376.69818115234375,1901200,MA
2023-05-12,377.7789032832676,378.29965119002634,372.18821708443244,375.2537841796875,2044000,MA
2023-05-15,375.2047057629953,376.963470887248,373.8880981789732,376.71783447265625,1957400,MA
2023-05-16,375.92200345374465,376.9045491867733,370.73416318275,373.6031799316406,2762700,MA
2023-05-17,375.52891067371195,380.7560300646056,372.5124887234173,380.2451171875,3260300,MA
2023-05-18,380.35318805434787,385.177490234375,379.0758908514913,385.177490234375,3729500,MA
2023-05-19,385.157817437182,385.3543385216742,378.417570024787,378.8400573730469,3369100,MA
2023-05-22,378.27016930562996,380.6086323119581,377.47430987707736,377.8182067871094,1808800,MA
2023-05-23,374.8607782613997,375.36188610153505,363.97418644653015,367.2264099121094,3979000,MA
2023-05-24,362.9228640750475,363.1586654242659,359.1990078491092,362.06805419921875,2655700,MA
2023-05-25,361.4883802055809,364.51460766876716,358.5407432024492,363.5812072753906,3752200,MA
2023-05-26,364.52442783921816,369.1227341800022,363.59099749903396,367.8356018066406,2691300,MA
2023-05-30,369.7122282296799,370.0561251597441,359.80818255027236,361.0854797363281,3430100,MA
2023-05-31,358.629102560619,359.31689639510967,351.6039083293585,358.64874267578125,10695300,MA
2023-06-01,360.751363114805,364.6127592382346,359.66072215751797,364.40643310546875,3389700,MA
2023-06-02,368.05173136604714,369.2602731785438,365.654317842257,367.2067565917969,2501500,MA
2023-06-05,366.24388295587613,366.29299824332685,362.09753920497377,364.05279541015625,2316200,MA
2023-06-06,366.4403489828576,373.7406547073201,365.3202327422202,373.3279724121094,2758700,MA
2023-06-07,372.669696335699,373.8585680116565,361.8322205175695,364.9075927734375,3714500,MA
2023-06-08,362.9130145285822,363.3158618073481,359.46429999436157,361.1739196777344,2594700,MA
2023-06-09,363.9938291082469,365.6150233268928,361.34097401907496,362.7754821777344,2201800,MA
2023-06-12,364.2001596705806,369.40763891229614,363.48289064921204,368.7591552734375,2407500,MA
2023-06-13,368.7591320345146,370.5964872363706,363.35513203615807,364.8977355957031,2444100,MA
2023-06-14,366.4207357351324,371.480839748332,365.5266156108717,368.21881103515625,2775400,MA
2023-06-15,366.75479532614435,372.9448507660178,364.052794852407,372.4241027832031,2558100,MA
2023-06-16,374.94926594985265,376.21675835192354,369.5944096506444,369.95794677734375,5886900,MA
2023-06-20,368.4644144307029,372.88586938326387,367.2263974488145,368.0812072753906,3961700,MA
