Date,Open,High,Low,Close,Volume,ticker
2023-04-24,212.01620246497654,212.2543391879995,209.0693418949524,211.1331329345703,15750900,META
2023-04-25,209.17847205585224,209.61503330899023,205.51720156083385,205.93392944335938,19198200,META
2023-04-26,210.84541509081166,212.44287978251066,207.25360627617584,207.76954650878906,41992700,META
2023-04-27,238.02211474831446,239.80810221766666,234.92641322808916,236.7024688720703,71196500,META
2023-04-28,237.1489789055397,238.5579204709665,233.91436785871295,238.44879150390625,39554000,META
2023-05-01,236.76202234544346,242.10013676312872,234.61885231326877,241.28651428222656,29143900,META
2023-05-02,241.28649078913926,243.01294786638383,237.12912861217322,237.37718200683594,24350100,META
2023-05-03,237.6053753853161,239.8676210238987,230.93769924844847,235.1843719482422,34463900,META
2023-05-04,234.22196789157476,236.3453046428844,231.1163341088725,231.70175170898438,17889400,META
2023-05-05,230.43167960792348,232.85266794504628,228.0602898361694,230.96746826171875,27000500,META
2023-05-08,229.61808820959843,233.7853826412468,228.4770485325923,231.4536895751953,16400500,META
2023-05-09,229.6577704607354,234.043352831237,229.2807244414687,231.55288696289062,16865600,META
2023-05-10,234.33108842458907,234.90657414001882,228.92352723267723,231.26515197753906,19119000,META
2023-05-11,231.23541508746797,236.35524161841087,230.49125478262093,233.95407104492188,20449000,META
2023-05-12,234.89666530723997,235.11495352176897,229.64784661240037,231.98947143554688,16161400,META
2023-05-15,235.075240553345,238.3892302909992,233.49762458805176,237.00013732910156,20653200,META
2023-05-16,233.9540432740443,237.77407177480512,233.68615649688385,236.96046447753906,18163800,META
2023-05-17,236.59336149432914,241.941392907079,236.28577765964093,240.60191345214844,21193100,META
2023-05-18,239.42117407342297,245.16608486045604,239.31202995843714,244.92796325683594,22943300,META
2023-05-19,245.5431087203749,246.753610562604,241.51472379688204,243.72735595703125,21733600,META
2023-05-22,243.49915972156407,251.5956268801899,243.21140927966366,246.38650512695312,27738500,META
2023-05-23,244.88823369959792,249.65086195908967,244.72947589162,244.81878662109375,17748100,META
2023-05-24,243.37015438607577,247.64659264626343,243.04272207618027,247.26956176757812,17724300,META
2023-05-25,251.4269516691496,253.62966734818465,247.22989185476325,250.7224884033203,22371400,META
2023-05-26,250.96055306645957,260.2675205330431,250.7422800254305,259.9996337890625,25727200,META
2023-05-30,263.18467584953015,266.5581962700264,259.25551819647967,260.4759216308594,23816500,META
2023-05-31,257.9755935462562,262.936662652915,256.43767423517716,262.6588439941406,25473700,META
2023-06-01,263.8296201878953,271.866557317883,263.8197186411394,270.48736572265625,25609500,META
2023-06-02,270.5369945762739,273.20605188620755,269.0089769801132,270.48736572265625,19416900,META
2023-06-05,268.1953160303984,273.42430092681104,267.46108767771483,269.27685546875,20742900,META
2023-06-06,268.036591718684,274.4165177871543,267.5900834945639,269.0089416503906,19419000,META
2023-06-07,269.5546870369073,272.11458484922684,260.75372680643784,261.5475158691406,26163600,META
2023-06-08,258.59067941544686,265.56593916023627,256.8642376024119,262.51983642578125,20899400,META
2023-06-09,260.43622471709676,265.8636340720592,259.6622993556924,262.8869934082031,16949800,META
2023-06-12,265.0897503979936,269.6340758695962,263.2640505240302,268.93951416015625,15442500,META
2023-06-13,272.73967540522887,273.5731311839987,266.9947502630428,269.2073974609375,16164000,META
2023-06-14,269.7729647864291,272.8488026603034,266.2307550388256,271.2215881347656,19175100,META
2023-06-15,270.1797642281489,281.7787441952247,269.3066416531064,279.63555908203125,25973500,META
2023-06-16,282.53284351172397,285.6087119553762,277.94882118522963,278.8120422363281,43127700,META
2023-06-20,276.559686831415,282.5823999177386,274.0692211931128,282.1160583496094,20701600,META
2023-06-21,281.32231995476303,281.78866155656544,276.1925623349365,279.4470520019531,20556200,META
2023-06-22,276.90697727173125,283.0388807556065,275.6270434409826,282.6618347167969,17563100,META
2023-06-23,279.31808843197484,287.41455585917544,276.7780237818679,286.48187255859375,51092000,META
2023-06-26,286.45208350341085,287.5335927129634,275.4385062924321,276.3017272949219,24232700,META
2023-06-27,279.81411602259055,287.09695888551886,278.46469002697944,284.8148498535156,26108300,META
2023-06-28,282.60232288476834,287.29547446574816,281.84823075760875,283.06866455078125,16722100,META
2023-06-29,282.28482787589394,284.3387177220062,278.50449569650834,279.33795166015625,15395700,META
2023-06-30,282.5426770457613,286.7992504224473,282.2053281477456,284.7453918457031,19694900,META
2023-07-03,284.467605349203,287.14656346913074,282.6320044292823,283.7928771972656,8629300,META
2023-07-05,285.41026462229314,295.7987432678793,284.1303004714729,292.07794189453125,33865500,META
2023-07-06,293.58608781168573,295.79870469399134,289.0417327035368,289.7164306640625,47600500,META
2023-07-07,289.9049993761313,293.893717936311,286.4124179592206,288.2678527832031,25586000,META
2023-07-10,293.24871963934146,295.8086477039445,284.8149039740183,291.8100280761719,37058300,META
2023-07-11,291.6115448608104,297.8426444994166,289.6271178385797,295.9673767089844,27585900,META
2023-07-12,299.40043824994797,307.0404946851265,297.76329195096815,306.93133544921875,36677100,META
2023-07-13,311.17802190329286,313.7776166697492,307.8739639648475,310.96966552734375,30281000,META
2023-07-14,309.36233485809737,312.4282717245608,304.9668049148223,306.4650573730469,23054100,META
2023-07-17,305.1453809142804,309.2828946951575,302.3373994520956,308.2013854980469,25323100,META
2023-07-18,308.45942711831395,311.7535841601705,305.2248004813134,309.62030029296875,20731900,META
2023-07-19,310.59263096242654,316.1986319082592,308.1021650649504,313.5494384765625,21763700,META
2023-07-20,311.0589126372255,313.083036527988,299.86674627410804,300.1643981933594,23836900,META
2023-07-21,302.19850020228625,303.081554551309,288.9326093562947,291.9687805175781,42139300,META
2023-07-24,293.4769299160423,295.2033718464492,286.0551614764398,289.3393859863281,24915700,META
2023-07-25,292.8915801719558,295.97735040942035,289.587491417671,292.17718505859375,19585600,META
2023-07-26,298.8448649834203,299.42033564139683,289.62719066887496,296.2452697753906,47256900,META
2023-07-27,322.5885180117678,322.81673806688707,307.4274936654851,309.2829284667969,64229200,META
2023-07-28,314.4126657950555,323.66010426666475,311.80313905459457,322.9457092285156,39220300,META
2023-07-31,321.1696263444991,323.1242883704477,315.11711725806254,316.1192626953125,25799600,META
2023-08-01,315.06753789734006,321.6161541887826,312.2099576770772,320.197265625,22817900,META
2023-08-02,315.5239417009489,315.9109195600562,308.23116529432224,311.8626708984375,20461100,META
2023-08-03,307.5167775331678,313.4899232457008,307.5167775331678,310.75140380859375,15180200,META
2023-08-04,312.50759107890946,315.9307401558167,307.7846748712968,308.310546875,17612800,META
2023-08-07,310.79109564375017,314.60119246481474,308.04264442618995,314.09515380859375,16236500,META
2023-08-08,311.95196390121913,315.41481011229837,307.6953588862012,310.2056884765625,15183500,META
2023-08-09,310.4438188052483,311.1879790598838,300.4919168777885,302.8335266113281,19955800,META
2023-08-10,305.54225702209254,309.90799078632176,301.5039404211993,303.359375,14358900,META
2023-08-11,300.21410278081095,302.34735615356055,298.021288729232,299.2913513183594,14046300,META
2023-08-14,298.63648342400137,303.8257415758813,295.9277291848271,303.805908203125,15641900,META
2023-08-15,303.75631580203975,304.83782509841706,297.6938743664323,299.59893798828125,11623600,META
2023-08-16,297.862520891398,298.735643383371,291.9886033311289,291.99853515625,18547700,META
2023-08-17,290.7682215551062,293.7448627460336,282.7313145635703,282.8702087402344,23950100,META
2023-08-18,276.85738220141786,283.4655289505489,272.2435946407065,281.0445251464844,35347900,META
2023-08-21,281.24294100791803,288.23803437738405,279.6553932823788,287.6427001953125,20181500,META
2023-08-22,290.27206518004357,290.61934598241027,284.5172386377998,285.3606262207031,12980200,META
2023-08-23,286.2536771691502,295.08437380572434,285.4301530502176,291.948974609375,18287000,META
2023-08-24,296.17575192971134,297.1282684826556,284.40811347284574,284.5172424316406,18360900,META
2023-08-25,283.9020463553259,286.14445849769015,273.8806842050553,283.2769470214844,23701400,META
2023-08-28,285.7575264634264,289.180675611169,283.57464435762574,287.99993896484375,14239300,META
2023-08-29,286.3330045979978,296.8207102483981,285.9361251901025,295.66973876953125,20844500,META
2023-08-30,294.8561662914278,295.96744081980256,291.1452663656537,292.8022766113281,17717000,META
2023-08-31,293.49679472781526,298.75554540509034,293.35790055805364,293.58612060546875,17229900,META
2023-09-01,297.03900536445764,299.39054694781646,292.17716437490265,294.0722961425781,12842300,META
2023-09-05,294.7072634122402,299.04326214464817,293.20904151317234,297.8128967285156,14956000,META
2023-09-06,299.3608078619437,300.9384241215608,293.3579266695663,296.8406066894531,15418100,META
2023-09-07,295.6796250140112,304.65914513819365,289.9446321561456,296.34442138671875,33748700,META
2023-09-08,296.8901875518962,302.87323501269304,294.46918367681815,295.570556640625,17548000,META
2023-09-11,299.063114388511,306.6337092437882,298.93412177158643,305.16522216796875,19489300,META
2023-09-12,303.94477776656885,306.2566524037513,297.8922990504119,299.3111572265625,13480400,META
2023-09-13,300.0056731795405,304.7881497375785,298.97379289345565,302.6846618652344,13210900,META
2023-09-14,304.3515816681793,310.4338557149774,302.65490493687196,309.2928161621094,19343100,META
2023-09-15,309.18368185356906,309.5706597125895,296.42382881133364,297.9716796875,28131100,META
2023-09-18,295.8681470090487,301.23602569617873,295.481169208335,300.1941833496094,14234200,META
2023-09-19,300.12481126059,303.7860822406688,297.47558735502014,302.69464111328125,15924400,META
2023-09-20,302.67475378193933,305.66132647870694,297.09851806182877,297.336669921875,19379500,META
2023-09-21,293.39757244980257,297.92206402517564,290.98647039875095,293.4273376464844,21319600,META
2023-09-22,296.9695394393899,303.00221551221176,295.947560570074,296.7512512207031,25369600,META
2023-09-25,293.3380490350795,298.6067009327977,291.41315219064484,298.48760986328125,18987000,META
2023-09-26,295.3423364379203,297.9617648857279,293.7051898730457,296.6322021484375,19417200,META
2023-09-27,298.11058197811235,298.95393929645525,284.55694085285074,295.4216613769531,36429800,META
2023-09-28,296.61232993196177,303.9447725402208,294.38978120306416,301.5932312011719,22167100,META
2023-09-29,304.98659011566156,308.2212158114376,297.0290184758619,297.8724060058594,25373700,META
2023-10-02,300.3827511018216,304.78818213594394,299.28140848326984,304.4309997558594,16265600,META
2023-10-03,301.89092774805414,304.38136336068993,297.30690563751256,298.5967712402344,17362300,META
2023-10-04,296.40395369954626,304.51032114563077,296.1757336907266,303.2005920410156,16880500,META
2023-10-05,302.25799026015585,303.8256741990861,297.16793038079436,302.416748046875,19130000,META
2023-10-06,299.0929081606846,313.8471214300376,298.5670360967991,312.9739685058594,21803900,META
2023-10-09,310.066746421115,317.8357654962619,309.392048448092,315.881103515625,22503700,META
2023-10-10,316.6351927442957,322.1320644548327,315.68267618606524,319.3340148925781,19038000,META
2023-10-11,320.49497139971857,326.2795642087612,320.435440997427,325.26751708984375,22036300,META
2023-10-12,325.446021422368,327.96625213981815,320.1773702662497,321.63592529296875,20530500,META
2023-10-13,321.0108492234802,322.5190029215304,309.9377423510793,312.23968505859375,21341000,META
2023-10-16,316.1589177830573,319.3141493820839,313.0631862904786,318.64935302734375,16536100,META
2023-10-17,315.7025429737858,321.87411330466125,314.8293900863371,321.47723388671875,16387800,META
2023-10-18,318.8875506594912,323.4021105297396,313.1029282837248,314.501953125,16851000,META
2023-10-19,317.3893483300357,319.38370771452566,309.3226454655626,310.3743896484375,18709200,META
2023-10-20,311.6939459845682,312.84488693381246,304.0836555421976,306.2466735839844,22312300,META
2023-10-23,307.0900492541897,314.88883209344186,304.86750091363035,311.56494140625,17796800,META
2023-10-24,314.31343815660597,315.8712208509296,308.2113302782834,310.1163635253906,19525500,META
2023-10-25,307.5862320515774,308.4593849099364,296.5131240641257,297.19775390625,42192500,META
2023-10-26,292.7030429628435,292.7030429628435,277.2245031094945,286.1048278808594,66684100,META
2023-10-27,292.18704475335653,296.97942267409155,290.6887926666057,294.4195251464844,29596300,META
2023-10-30,296.76113522682925,306.99085409785965,296.72143820802165,300.3033447265625,28435100,META
2023-10-31,300.9483186528854,301.31543285724274,294.5485285219265,298.9241943359375,19434200,META
2023-11-01,299.4997076080775,310.30489891866,299.4997076080775,309.4218444824219,20434600,META
